18,CPIC FOR  HULL,CPIC,2023.01.01,2023.12.31,
18·´Ãæ, P&I INSURANCE,PICC,2023.02.20,2024.02.20,
39,Civil Liability for Bunker Oil Pollution Damage,,2023.02.20,2023.06.21, 
40,Cert of Insurance for Removal of Wreck,,2023.02.20,2023.06.21, 
41,"P&I Entry Certificate (FOR MLC, FREIGHT,demurrage defence cover,ETC)",SKULD,2023.02.20,2024.02.20,
